Game Number,Date,Location,Result,Points,Opp. Points,FGA,FG%,3PA,3P%,TO,ORB
117.00000000000001,117.00000000000001,116.2,118.6,114.60000000000001,116.4,118.0,119.0,118.80000000000001,119.4,116.0,114.4,116.00000000000001,109.0,111.8,116.00000000000001,117.8,117.80000000000001,125.4,121.80000000000001,117.4,115.0,111.6,105.2,108.6,110.6,112.4,108.60000000000001,108.60000000000001,109.2,106.80000000000001,103.60000000000001,103.80000000000001,103.00000000000001,102.20000000000002,103.40000000000002,106.80000000000001,113.60000000000001,115.4,115.4,122.00000000000001,119.0,117.00000000000001,120.0,119.60000000000001,112.80000000000001,115.0,117.4,112.0,112.2,114.80000000000001,114.8,111.0,118.0,119.60000000000001,119.8,115.6,118.4,116.8,112.4,107.4,113.20000000000002,114.60000000000001,111.00000000000001,111.80000000000001,114.20000000000002,114.4,114.0,115.60000000000001,116.19999999999999,117.2,115.00000000000001,115.2,117.60000000000001,117.80000000000001,117.60000000000001,117.60000000000001,116.80000000000001

FGP Moving Averages
0.49820000000000003,0.49720000000000003,0.4796,0.4932,0.47940000000000005,0.4760000000000001,0.49319999999999997,0.5096,0.5138,0.49300000000000005,0.4908,0.46340000000000003,0.47900000000000004,0.46220000000000006,0.48840000000000006,0.48960000000000004,0.5074000000000001,0.5214,0.5362,0.5272,0.5202,0.5018,0.45860000000000006,0.43720000000000003,0.4438000000000001,0.44860000000000005,0.47280000000000005,0.47380000000000005,0.4726,0.4738,0.4548,0.43820000000000003,0.4176,0.40980000000000005,0.4142,0.42600000000000005,0.4348,0.47940000000000005,0.49800000000000005,0.4796,0.4842,0.4710000000000001,0.46740000000000004,0.4726,0.4692,0.45760000000000006,0.4652,0.4544,0.43620000000000003,0.4396,0.4492,0.4444,0.43200000000000005,0.4610000000000001,0.46520000000000006,0.45820000000000005,0.44980000000000003,0.4708,0.47340000000000004,0.45480000000000004,0.45280000000000004,0.47620000000000007,0.49200000000000005,0.476,0.4782,0.4902,0.4946,0.4844,0.48919999999999997,0.5268,0.5292,0.5076,0.5076,0.5076,0.4746,0.48460000000000003,0.48440000000000005,0.4856000000000001

3PP Moving Averages
0.3738,0.37040000000000006,0.33620000000000005,0.3486,0.34440000000000004,0.3328,0.33020000000000005,0.35140000000000005,0.35000000000000003,0.335,0.3178000000000001,0.2942,0.31300000000000006,0.28600000000000003,0.30400000000000005,0.3512,0.35880000000000006,0.38780000000000003,0.4138,0.39180000000000004,0.3582000000000001,0.3506000000000001,0.30440000000000006,0.2936000000000001,0.33640000000000003,0.3470000000000001,0.40800000000000003,0.3852,0.36360000000000003,0.325,0.3108,0.2812,0.3118,0.3198,0.33180000000000004,0.3218,0.3256,0.358,0.366,0.35880000000000006,0.391,0.34880000000000005,0.2958,0.3276,0.3448,0.3342,0.3638,0.41379999999999995,0.37120000000000003,0.3458,0.3552,0.34240000000000004,0.3224,0.3286,0.3582,0.38060000000000005,0.3942,0.4086,0.422,0.4096000000000001,0.37240000000000006,0.364,0.37460000000000004,0.35960000000000003,0.3658,0.4096000000000001,0.42440000000000005,0.3972,0.4448,0.4514,0.43720000000000003,0.4374,0.4544,0.4532,0.4476,0.431,0.4238,0.4154

TOV Moving Averages
13.400000000000002,14.000000000000002,13.6,13.200000000000001,13.200000000000001,12.4,12.8,14.8,14.8,14.200000000000001,15.8,15.6,16.2,16.4,17.799999999999997,16.800000000000004,16.0,14.400000000000002,14.000000000000002,12.6,13.0,13.400000000000002,13.400000000000002,12.8,12.200000000000001,11.0,12.0,11.2,10.8,11.0,11.8,11.8,11.8,12.2,12.400000000000002,11.4,10.399999999999999,11.2,12.6,12.600000000000001,14.8,14.600000000000001,14.400000000000002,12.8,14.2,11.8,13.600000000000001,12.200000000000001,13.400000000000002,13.000000000000002,13.200000000000001,11.0,12.0,11.4,11.4,11.200000000000001,12.200000000000001,11.4,11.600000000000001,11.8,12.6,13.2,15.400000000000002,16.6,17.0,16.8,16.400000000000002,16.0,16.200000000000003,15.4,16.0,14.8,13.600000000000001,12.2,11.0,10.8,11.400000000000002,12.799999999999999
