49,"<a href=""/boxscores/201901220TOR.html""></a>","Tue, Jan 22, 2019",v,Sacramento Kings,TBD
50,"<a href=""/boxscores/201901230IND.html""></a>","Wed, Jan 23, 2019",@,Indiana Pacers,TBD
51,"<a href=""/boxscores/201901250HOU.html""></a>","Fri, Jan 25, 2019",@,Houston Rockets,TBD
52,"<a href=""/boxscores/201901270DAL.html""></a>","Sun, Jan 27, 2019",@,Dallas Mavericks,TBD
53,"<a href=""/boxscores/201901310TOR.html""></a>","Thu, Jan 31, 2019",v,Milwaukee Bucks,TBD
54,"<a href=""/boxscores/201902030TOR.html""></a>","Sun, Feb 3, 2019",v,Los Angeles Clippers,TBD
55,"<a href=""/boxscores/201902050PHI.html""></a>","Tue, Feb 5, 2019",@,Philadelphia 76ers,TBD
56,"<a href=""/boxscores/201902070ATL.html""></a>","Thu, Feb 7, 2019",@,Atlanta Hawks,TBD
57,"<a href=""/boxscores/201902090NYK.html""></a>","Sat, Feb 9, 2019",@,New York Knicks,TBD
58,"<a href=""/boxscores/201902110TOR.html""></a>","Mon, Feb 11, 2019",v,Brooklyn Nets,TBD
59,"<a href=""/boxscores/201902130TOR.html""></a>","Wed, Feb 13, 2019",v,Washington Wizards,TBD
60,"<a href=""/boxscores/201902220TOR.html""></a>","Fri, Feb 22, 2019",v,San Antonio Spurs,TBD
61,"<a href=""/boxscores/201902240TOR.html""></a>","Sun, Feb 24, 2019",v,Orlando Magic,TBD
62,"<a href=""/boxscores/201902260TOR.html""></a>","Tue, Feb 26, 2019",v,Boston Celtics,TBD
63,"<a href=""/boxscores/201903010TOR.html""></a>","Fri, Mar 1, 2019",v,Portland Trail Blazers,TBD
64,"<a href=""/boxscores/201903030DET.html""></a>","Sun, Mar 3, 2019",@,Detroit Pistons,TBD
65,"<a href=""/boxscores/201903050TOR.html""></a>","Tue, Mar 5, 2019",v,Houston Rockets,TBD
66,"<a href=""/boxscores/201903080NOP.html""></a>","Fri, Mar 8, 2019",@,New Orleans Pelicans,TBD
67,"<a href=""/boxscores/201903100MIA.html""></a>","Sun, Mar 10, 2019",@,Miami Heat,TBD
68,"<a href=""/boxscores/201903110CLE.html""></a>","Mon, Mar 11, 2019",@,Cleveland Cavaliers,TBD
69,"<a href=""/boxscores/201903140TOR.html""></a>","Thu, Mar 14, 2019",v,Los Angeles Lakers,TBD
70,"<a href=""/boxscores/201903170DET.html""></a>","Sun, Mar 17, 2019",@,Detroit Pistons,TBD
71,"<a href=""/boxscores/201903180TOR.html""></a>","Mon, Mar 18, 2019",v,New York Knicks,TBD
72,"<a href=""/boxscores/201903200OKC.html""></a>","Wed, Mar 20, 2019",@,Oklahoma City Thunder,TBD
73,"<a href=""/boxscores/201903220TOR.html""></a>","Fri, Mar 22, 2019",v,Oklahoma City Thunder,TBD
74,"<a href=""/boxscores/201903240TOR.html""></a>","Sun, Mar 24, 2019",v,Charlotte Hornets,TBD
75,"<a href=""/boxscores/201903260TOR.html""></a>","Tue, Mar 26, 2019",v,Chicago Bulls,TBD
76,"<a href=""/boxscores/201903280NYK.html""></a>","Thu, Mar 28, 2019",@,New York Knicks,TBD
77,"<a href=""/boxscores/201903300CHI.html""></a>","Sat, Mar 30, 2019",@,Chicago Bulls,TBD
78,"<a href=""/boxscores/201904010TOR.html""></a>","Mon, Apr 1, 2019",v,Orlando Magic,TBD
79,"<a href=""/boxscores/201904030BRK.html""></a>","Wed, Apr 3, 2019",@,Brooklyn Nets,TBD
80,"<a href=""/boxscores/201904050CHO.html""></a>","Fri, Apr 5, 2019",@,Charlotte Hornets,TBD
81,"<a href=""/boxscores/201904070TOR.html""></a>","Sun, Apr 7, 2019",v,Miami Heat,TBD
82,"<a href=""/boxscores/201904090MIN.html""></a>","Tue, Apr 9, 2019",@,Minnesota Timberwolves,TBD
